ID,county,total_cost,benefit_2015,benefit_2050,bc_2015,bc_2050,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
AR-ML-800,Fulton,1231452691,28711750.86,99977935.07,0.389606334,1.396513443,,,,,,0.280228738,0.034253197,3.49,0.2541154,0.042902487,0.524523753,0.625771285,0.688668612,0.413675214,34.67
AT-244,Fulton,780409755,6415057.503,1277737.823,0.142922404,0.026349702,,,,,,0.488098651,0.014367228,5.17,0.007107141,0.019456214,0.141569836,0.982595099,0.700498165,0.326495726,25.71
AT-303,Fulton,28589690,6573869.36,3334558.923,3.901749747,1.9256935,0.97,0.12,0,0.00,0.663636364,0.370294466,0.019168049,35.17,0.007388056,0.014727533,0.216662714,0.994503713,0.590697064,0.314529915,24.71
AT-306,Fulton,4274318,5441653.445,2451161.898,20.69856103,8.861870205,,,,,,1,0.050501113,11.01,0.006770043,0.096220549,0.218579559,0.997624486,0.591095045,0.105982906,24.70
BA-005C,Barrow,25029181,6103622.932,3752500.675,2.840020627,1.717099856,,,,,,0.052356295,0.009095133,0.71,0.008343165,0.014465522,0.232570548,0.935084511,0.553679875,0.090598291,21.50
BA-005D,Barrow,25000000,6416446.038,1744712.759,2.858505594,0.716555761,,,,,,0.054956146,0.003732748,0.62,0.003623799,0.006470433,0.223302506,0.927663211,0.58274308,0.018803419,20.71
BA-008,Barrow,30569000,6001580.004,3891842.713,2.991017736,1.908301415,0.27,0.00,0,0.00,0.363636364,0.196912262,0,12.78,0.009228047,0.010827307,0.217551972,0.948468426,0.58650112,0.075213675,21.76
BA-010,Barrow,26697029,5417544.934,2062807.998,3.442487408,1.245421521,,,,,,0.053351397,0.007095525,0.68,0.004059217,0.005494752,0.222887519,0.998167904,0.579033615,0.682051282,27.98
BA-027,Barrow,18939948,6137889.068,2566336.316,5.444229983,2.196895449,,,,,,0.081929487,0.005166388,0.92,0.005042418,0.013068128,0.222235396,0.995326604,0.582303229,0.030769231,21.70
BA-028,Barrow,29031152,6228555.675,2670902.517,3.632793341,1.504370033,,,,,,0.059169727,0.009443083,0.78,0.005449744,0.004102349,0.221919216,0.996397914,0.57780039,0.090598291,22.02
BA-033A,Barrow,12354129,8954439.949,17350048.76,11.09447695,21.83998886,0.69,0.02,0,0.00,0.618181818,0.137627015,0.00818562,24.96,0.036237991,0.021252863,0.218065766,0.984784354,0.591627694,0.357264957,26.09
BA-033B,Barrow,31450000,12115185.13,19422008.03,6.149851093,10.02551386,0.58,0.01,0,0.00,0.545454545,0.074480703,0.012572425,21.01,0.046266644,0.021569772,0.171962691,0.972766949,0.724151038,0.352136752,27.76
BA-040,Barrow,19397418,5517795.908,2088112.534,4.498083119,1.599421612,,,,,,0.030407515,0.005432856,0.41,0.006039665,0.015079377,0.217393882,0.953421301,0.586101605,0,21.06
CA-007,Carroll,16747843,5812250.809,-507339.6894,5.456276572,-0.672093253,,,,,,0.026722585,0.000422825,0.28,0,0.014999526,0.218460991,0.959538611,0.591205161,0.090598291,21.93
CA-011,Carroll,17505172,5393639.831,2530671.952,4.599484801,2.062047855,,,,,,0.026510733,0.007921355,0.42,0.005646385,0.009033153,0.213955419,0.95657317,0.589037286,0.029059829,21.23
CH-010A2,Cherokee,53373569,8684915.745,17733498.95,2.587200443,5.371017166,0.33,0.05,0,0.00,0.190909091,0.044616706,0.011350198,10.94,0.035802573,0.015857925,0.210003162,0.947117688,0.582963408,0.229059829,24.08
CH-020A2,Cherokee,152291166,17724059.19,29979008.27,1.226857087,2.116754201,0.30,0.02,1,1.00,0.109090909,0.052645188,0.013235291,28.74,0.070355076,0.024651525,0.282112086,0.287778825,0.472501478,0.297435897,18.49
CH-020A3,Cherokee,73113898,8955260.951,9340582.008,1.957816795,2.057771856,0.54,0.10,1,1.00,0.481818182,0.074082305,0.015107171,40.61,0.026040789,0.012763696,0.207276105,0.969335721,0.620183325,0.312820513,25.30
CH-030,Cherokee,4650000,5792276.344,2466554.519,20.27844954,8.281453977,0.58,1.00,0,0.00,0.218181818,0.187803935,0.006921551,31.79,0.007612787,0.005145404,0.216465102,0.996987911,0.590882299,0.128205128,22.64
CH-231,Cherokee,40571055,5494566.143,1113939.711,1.82365442,0.317809975,0.54,0.04,1,1.00,0.481818182,0.058971289,0.005432856,39.39,0.003946851,0.013452411,0.21966643,0.924309771,0.587819465,0.201709402,22.73
CH-232,Cherokee,57597359,7215508.711,3063622.456,1.87231875,0.768405825,0.32,0.03,1,1.00,0.172727273,0.049006079,0.009229468,30.11,0.007598742,0.016089992,0.214864438,0.849178134,0.581279719,0.21025641,22.09
CH-233,Cherokee,39256621,8151937.591,7290267.627,2.740467317,2.453642389,0.31,0.03,1,1.00,0.127272727,0.046765015,0.007022852,29.27,0.018821282,0.014767459,0.229724923,0.916344329,0.550792831,0.268376068,23.34
CL-014,Clayton,17414600,11946427.07,16109866.22,8.332341271,11.41757552,0.63,0.08,0,0.00,0.481818182,0.180872705,0.027785302,23.47,0.036546997,0.033367769,0.167714015,0.943686396,0.704125265,0.475213675,28.36
CL-015,Clayton,36766598,9718877.629,8128707.265,3.463240999,2.907906851,0.51,0.07,0,0.00,0.309090909,0.077326318,0.019220902,17.07,0.020928142,0.020559157,0.196901431,0.847858624,0.649172647,0.417094017,25.50
CL-017,Clayton,26278578,5722248.693,2958262.581,3.274716991,1.632822218,0.44,0.25,0,0.00,0.245454545,0.083394831,0.012673727,17.34,0.006025619,0.01264891,0.221188048,0.962969903,0.579375207,0.117948718,22.21
